rounds,representation,model,accuracy,roc_auc,true_negative,false_positive,false_negative,true_positive,true_positive_rate,true_negative_rate,balanced_accuracy,loss,accuracy_std,roc_auc_std,true_negative_std,false_positive_std,false_negative_std,true_positive_std,true_positive_rate_std,true_negative_rate_std,balanced_accuracy_std,loss_std,effective_seed_count,num_seeds
3,delta,siamese,0.9516666666666668,0.9887954310603452,1422.5,72.5,72.5,1432.5,0.9518272425249168,0.951505016722408,0.9516661296236624,0.1503464623689651,0.0013333333333332,8.577873087475818e-05,3.5,3.5,0.5,0.5,0.0003322259136212,0.0023411371237458,0.0013366815186836,0.002216697414716,2,2
4,delta_stats,mlp,0.7916666666666666,0.8583700267250265,1329.0,178.0,447.0,1046.0,0.7006028131279303,0.8818845388188454,0.7912436759733878,0.4525107905467351,0.0,0.0022558269046748,9.0,9.0,9.0,9.0,0.0060281312793034,0.0059721300597213,2.800060979102348e-05,0.0005546491543451,2,2
5,delta,mlp,0.6085,0.6402222759517874,926.5,566.5,608.0,899.0,0.5965494359654944,0.6205626255860683,0.6085560307757814,0.6714297591845195,0.0041666666666667,0.0006732368838254,19.5,19.5,7.0,7.0,0.0046449900464499,0.0130609511051573,0.0042079805293537,0.000144806543986,2,2
6,delta,cnn,0.5213333333333333,0.524829491711057,718.5,765.5,670.5,845.5,0.5577176781002638,0.4841644204851751,0.5209410492927196,0.7049675053755442,0.001,0.0051428073594151,68.5,68.5,65.5,65.5,0.0432058047493403,0.0461590296495957,0.0014766124501276,0.0059019976456959,0,2
7,joint,siamese,0.5005,0.5075681126807148,773.5,749.5,749.0,728.0,0.4928909952606635,0.5078791858174656,0.5003850905390645,0.7490644298394522,0.0015,0.0059072777555256,85.5,85.5,90.0,90.0,0.0609343263371699,0.0561391989494419,0.002397563693864,0.0221905988852183,0,2
8,concat,siamese,0.5026666666666666,0.5117400208711482,649.0,849.0,643.0,859.0,0.5719041278295607,0.4332443257676902,0.5025742267986254,0.7356655500729878,0.0006666666666666,0.006629567341453,98.0,98.0,100.0,100.0,0.066577896138482,0.0654205607476635,0.0005786676954092,0.0178914670944213,0,2
