model,accuracy,balanced_accuracy,roc_auc
siamese,0.6081388888888889,0.6082248297352428,0.6302868393746445
mlp,0.6100138888888889,0.6099307452696011,0.6287369099791194
cnn,0.5686527777777778,0.5685593653357524,0.5819703173842354
