representation,accuracy,balanced_accuracy,roc_auc
delta,0.6365277777777778,0.6363552401291188,0.658995934918822
delta_stats,0.6276388888888889,0.627570171396027,0.6507864727765397
concat,0.5693796296296296,0.5694573551873846,0.584265161150747
joint,0.5488611111111111,0.5489038204082647,0.5606111868045569
