rounds,representation,model,train_seed,accuracy,roc_auc,true_negative,false_positive,false_negative,true_positive,true_positive_rate,true_negative_rate,balanced_accuracy,loss
5,delta,mlp,2027,0.6043333333333333,0.6408955128356129,907,586,601,906,0.6011944260119443,0.607501674480911,0.6043480502464276,0.6712849526405334
6,delta,mlp,1337,0.5183333333333333,0.519184404981189,785,699,746,770,0.5079155672823219,0.5289757412398922,0.5184456542611071,0.70036119445165
6,delta,mlp,2027,0.511,0.5202943090413843,738,746,721,795,0.5244063324538258,0.4973045822102426,0.5108554573320342,0.6993729451497396
7,delta,mlp,1337,0.4996666666666666,0.4826681473110789,799,724,777,700,0.4739336492890995,0.5246224556795798,0.4992780524843396,0.7149879260063171
7,delta,mlp,2027,0.4913333333333333,0.4874815012062836,767,756,770,707,0.4786729857819905,0.5036112934996717,0.4911421396408311,0.7146622479756674
8,delta,mlp,1337,0.4876666666666667,0.4875946446127015,802,696,841,661,0.4400798934753662,0.5353805073431241,0.4877302004092452,0.7028792386054993
8,delta,mlp,2027,0.4903333333333333,0.4951586580598365,657,841,688,814,0.5419440745672437,0.438584779706275,0.4902644271367593,0.7042361766497294
3,delta_stats,mlp,1337,0.9533333333333334,0.9876651962799587,1440,55,85,1420,0.9435215946843852,0.9632107023411371,0.9533661485127612,0.1412270984252294
3,delta_stats,mlp,2027,0.955,0.9886723185813177,1443,52,83,1422,0.9448504983388704,0.9652173913043478,0.9550339448216092,0.1372961831490198
4,delta_stats,mlp,1337,0.7916666666666666,0.8561141998203516,1338,169,456,1037,0.6945746818486269,0.8878566688785667,0.7912156753635968,0.4519561413923899
4,delta_stats,mlp,2027,0.7916666666666666,0.8606258536297013,1320,187,438,1055,0.7066309444072337,0.8759124087591241,0.7912716765831789,0.4530654397010803
5,delta_stats,mlp,1337,0.601,0.6306110666410067,939,554,643,864,0.5733244857332449,0.6289350301406564,0.6011297579369507,0.6802138425509134
5,delta_stats,mlp,2027,0.5973333333333334,0.6357780680557044,861,632,576,931,0.6177836761778368,0.5766912257200268,0.5972374509489318,0.6714093632698059
